Title,Named-entity,Frequency
Selena Gomez,2020)ToursSolo,1
Selena Gomez,20092010,1
Selena Gomez,A Year Without Rain Tour,1
Selena Gomez,20102011,1
Selena Gomez,the United States,1
Selena Gomez,40,1
Selena Gomez,Billboard Social 50,1
Selena Gomez,Billboard Social,1
Selena Gomez,Mexican,1
Selena Gomez,Americans,1
Selena Gomez,DallasFort,1
Selena Gomez,Selena Gomezlist,1
