Title,Named-entity,Frequency
Angela Merkel,Bundesrat,1
Angela Merkel,CDU Leader,2
Angela Merkel,20002018,1
Angela Merkel,Schuble,2
Angela Merkel,10 April 2000,1
Angela Merkel,Protestant,2
Angela Merkel,Catholic,1
Angela Merkel,As early as February 2001,1
Angela Merkel,2002,3
Angela Merkel,Edmund Stoiber,2
Angela Merkel,Schrder,4
Angela Merkel,Barry Turner,1
Angela Merkel,ed.,1
Angela Merkel,Yearbook,1
Angela Merkel,2015,5
Angela Merkel,516,1
Angela Merkel,the Iraq War,1
Angela Merkel,Iraq,3
Angela Merkel,Opposition,1
Angela Merkel,20022005,1
Angela Merkel,Stoiber,3
Angela Merkel,Leader of the Opposition in the Bundestag,1
Angela Merkel,hours,1
Angela Merkel,a week,1
Angela Merkel,transatlantic,1
Angela Merkel,German-American,2
Angela Merkel,the spring of 2003,1
Angela Merkel,2003,1
Angela Merkel,Turkey,1
Angela Merkel,the European Union,7
Angela Merkel,Turkish,3
Angela Merkel,30 May 2005,1
Angela Merkel,CDU/CSU,2
Angela Merkel,21,1
Angela Merkel,SPD,4
Angela Merkel,Paul Kirchhof,1
Angela Merkel,the German Constitutional Court,1
Angela Merkel,Kirchhof,1
Angela Merkel,20052021,1
Angela Merkel,2010,4
Angela Merkel,the Merkel-Raute,1
Angela Merkel,8,1
Angela Merkel,1st,1
Angela Merkel,2nd Merkel,1
Angela Merkel,3rd,1
Angela Merkel,4th,1
Angela Merkel,2009 2013 2017,1
Angela Merkel,Palais Schaumburg,1
Angela Merkel,1998Gerhard,1
Angela Merkel,2021Olaf,1
Angela Merkel,Scholz,1
Angela Merkel,20052009,1
Angela Merkel,16:00 CET,1
Angela Merkel,22 November 2005,1
Angela Merkel,31 October 2005,1
Angela Merkel,Franz Mntefering,1
Angela Merkel,November,1
Angela Merkel,1 November 2005,1
Angela Merkel,Cabinet,1
Angela Merkel,14 November 2005,1
Angela Merkel,second,5
Angela Merkel,28 October,1
Angela Merkel,14 November 2005.Reports,1
Angela Merkel,16 to 19%,1
Angela Merkel,CDUFDP,1
Angela Merkel,20092013,1
Angela Merkel,FDP,2
Angela Merkel,3 million,1
Angela Merkel,September 2013,1
Angela Merkel,five,1
Angela Merkel,1957,1
Angela Merkel,Second,1
Angela Merkel,20132017,2
Angela Merkel,third,2
Angela Merkel,17 December,1
Angela Merkel,54%,1
Angela Merkel,October 2015,2
Angela Merkel,2017,9
Angela Merkel,fourth,1
Angela Merkel,2013,12
Angela Merkel,Greens,1
Angela Merkel,YouGov,1
Angela Merkel,late December 2017,1
Angela Merkel,just 36 percent,1
Angela Merkel,2021,9
Angela Merkel,half,1
Angela Merkel,Third,1
Angela Merkel,Fourth,1
Angela Merkel,14 March 2018.In,1
Angela Merkel,October 2018,1
Angela Merkel,August 2019,1
Angela Merkel,67%,1
Angela Merkel,Germans,4
Angela Merkel,only 29%,1
Angela Merkel,September 2021,2
Angela Merkel,16 years,1
Angela Merkel,Social Democrats,1
Angela Merkel,26 September 2021,1
Angela Merkel,23 November 2021,1
Angela Merkel,October 2010,1
Angela Merkel,Potsdam,1
Angela Merkel,Muslim,2
Angela Merkel,Italy,2
Angela Merkel,Greece,1
Angela Merkel,Europe,6
Angela Merkel,late August 2015,1
Angela Merkel,Syrian,1
Angela Merkel,That year,1
Angela Merkel,nearly 1.1 million,1
Angela Merkel,Sigmar Gabriel,1
Angela Merkel,"500,000",2
Angela Merkel,annually,2
Angela Merkel,the next several years,1
Angela Merkel,year,1
Angela Merkel,Horst Seehofer,3
Angela Merkel,Bavaria,1
Angela Merkel,Deutsche Welle,4
Angela Merkel,15 September 2015,1
Angela Merkel,Yasmin Fahimi,1
Angela Merkel,Hungary,1
