Title,Named-entity,Frequency
Brad Pitt,July 29,1
Brad Pitt,Childrensidebartitle,1
Brad Pitt,Childrencontentstyle,1
Brad Pitt,Maddox Chivan Jolie-Pitt,1
Brad Pitt,"March 10, 2002",1
Brad Pitt,early 2006,3
Brad Pitt,Thien Jolie-Pitt,1
Brad Pitt,Ho Chi Minh City,2
Brad Pitt,"March 15, 2007",2
Brad Pitt,"February 21, 2008",1
Brad Pitt,Zahara Marley Jolie-Pitt,1
Brad Pitt,Awassa,1
Brad Pitt,"July 6, 2005",1
Brad Pitt,Shiloh Nouvel Jolie-Pitt,1
Brad Pitt,Swakopmund,2
Brad Pitt,Namibia,2
Brad Pitt,Knox Lon Jolie-Pitt,1
Brad Pitt,Nice,1
Brad Pitt,FranceIn July 2005,1
Brad Pitt,Addis Ababa,1
Brad Pitt,Ethiopia,1
Brad Pitt,Zahara Marley,1
Brad Pitt,Shiloh Nouvel,1
Brad Pitt,"May 27, 2006",1
Brad Pitt,Namibian,1
Brad Pitt,three-year-old,1
Brad Pitt,Pax Thien,1
Brad Pitt,Vietnam,1
Brad Pitt,the Cannes Film Festival,1
Brad Pitt,May 2008,1
Brad Pitt,September 2016,2
Brad Pitt,FBI,1
Brad Pitt,the Los Angeles Department of Children and Family Services,1
Brad Pitt,"September 19, 2016",1
Brad Pitt,May 2021,1
Brad Pitt,four and a half years,1
Brad Pitt,Alcoholics Anonymous,1
Brad Pitt,Empire,1
Brad Pitt,one,2
Brad Pitt,25,1
Brad Pitt,Reuters,1
Brad Pitt,The Brangelina,1
Brad Pitt,ACNielsen,1
Brad Pitt,42,1
Brad Pitt,Brad,1
Brad Pitt,Huffington Post,1
Brad Pitt,Brad Pittlist,1
