Title,Named-entity,Frequency
Ed Sheeran,September 2019,1
Ed Sheeran,Stuart Camp,1
Ed Sheeran,Portobello Road,1
Ed Sheeran,Notting Hill,2
Ed Sheeran,Bertie Blossoms,1
Ed Sheeran,Cherry Seaborn,2
Ed Sheeran,Bristol,1
Ed Sheeran,"40,000",2
Ed Sheeran,125 hours,1
Ed Sheeran,Renee Zellweger,1
Ed Sheeran,Bridget,1
Ed Sheeran,Bridget Jones's,1
Ed Sheeran,15 November 2014,1
Ed Sheeran,30,1
Ed Sheeran,Irish,1
Ed Sheeran,Do They Know It's,1
Ed Sheeran,Sarm West Studios,1
Ed Sheeran,West African,1
Ed Sheeran,November 2015,1
Ed Sheeran,the No Cold Homes,1
Ed Sheeran,Heatworld.com,1
Ed Sheeran,1 December 2015,1
Ed Sheeran,nearly thirty,1
Ed Sheeran,Helen Mirren,1
Ed Sheeran,Jeremy Irons,1
Ed Sheeran,Hugh Laurie,1
Ed Sheeran,winter,2
Ed Sheeran,1 December,1
Ed Sheeran,BBC3,1
Ed Sheeran,biennial,1
Ed Sheeran,November 2017,1
Ed Sheeran,Gogglebox,2
Ed Sheeran,Ozzy Osbourne,1
Ed Sheeran,Oasis,1
Ed Sheeran,Liam Gallagher,2
Ed Sheeran,Labour Party,1
Ed Sheeran,Jeremy Corbyn,3
Ed Sheeran,Channel 4 and Cancer Research,1
Ed Sheeran,NME,1
Ed Sheeran,10 December 2017In December 2019,1
Ed Sheeran,Ed Sheeran Suffolk Music Foundation,1
Ed Sheeran,under 18,1
Ed Sheeran,The Ed,1
Ed Sheeran,Suffolk Legacy Auction,1
Ed Sheeran,23 October 2020,1
Ed Sheeran,8 November,1
Ed Sheeran,220,1
Ed Sheeran,David Beckham,1
Ed Sheeran,Kylie Minogue,1
Ed Sheeran,Usain Bolt,1
Ed Sheeran,"Perfect""",1
Ed Sheeran,3,1
Ed Sheeran,the British Legion,1
Ed Sheeran,Ipswich,2
Ed Sheeran,November,1
Ed Sheeran,Dab 2 2020,1
Ed Sheeran,2014,4
Ed Sheeran,New Zealand,1
Ed Sheeran,Shortland Street,1
Ed Sheeran,May 2015,1
Ed Sheeran,NBC,1
Ed Sheeran,Later that year,1
Ed Sheeran,Foy Vance's,1
Ed Sheeran,"Make It Rain"" for Sons of Anarchy,",1
Ed Sheeran,Kurt Sutter,1
Ed Sheeran,Cormac,1
Ed Sheeran,The Bastard Executioner,1
Ed Sheeran,July 2017,1
Ed Sheeran,Game of Thrones,1
Ed Sheeran,Maisie Williams,1
Ed Sheeran,Arya Stark,1
Ed Sheeran,June 2019,2
Ed Sheeran,Heinz Tomato Ketchup,1
Ed Sheeran,Ed Sheeran X Heinz,1
Ed Sheeran,Heinz,1
Ed Sheeran,Richard Curtis,1
Ed Sheeran,Danny Boyle,1
Ed Sheeran,Alexis Petridis,1
Ed Sheeran,Coldplay,1
Ed Sheeran,Petridis,1
