Title,Named-entity,Frequency
Lionel Messi,2010Champions,1
Lionel Messi,UEFA Champions League,3
Lionel Messi,Madrid,2
Lionel Messi,8,1
Lionel Messi,9,1
Lionel Messi,Pel,3
Lionel Messi,the second half of the season,1
Lionel Messi,the year 2012,1
Lionel Messi,7 March,1
Lionel Messi,two weeks,1
Lionel Messi,Valencia,1
Lionel Messi,2011Champions,1
Lionel Messi,16,1
Lionel Messi,Bayer Leverkusen,1
Lionel Messi,four-year,1
Lionel Messi,Guardiola,2
Lionel Messi,Tito Vilanova,1
Lionel Messi,the second half of 2012,1
Lionel Messi,55,1
Lionel Messi,201314,1
Lionel Messi,Messidependencia Barcelona,1
Lionel Messi,the start of 2013,1
Lionel Messi,the previous season,1
Lionel Messi,the second half of the,1
Lionel Messi,2012201213,3
Lionel Messi,Vilanova,1
Lionel Messi,2 April,1
Lionel Messi,201213,3
Lionel Messi,PSG,2
Lionel Messi,the second half,1
Lionel Messi,nine minutes,1
Lionel Messi,Bayern Munich,2
Lionel Messi,70,1
Lionel Messi,Messidependencia,1
Lionel Messi,2013,6
Lionel Messi,the second half of the 201314 season,1
Lionel Messi,previous seasons,1
Lionel Messi,201415,2
Lionel Messi,Second,1
Lionel Messi,Luis Enrique,1
Lionel Messi,the 2014201415 season,1
Lionel Messi,the end of the year,1
Lionel Messi,the start of 2015,1
Lionel Messi,11 January,1
Lionel Messi,31,2
Lionel Messi,Atltico Madrid,3
Lionel Messi,trident,1
Lionel Messi,Luis Surez,1
Lionel Messi,Neymar,1
Lionel Messi,MSN,1
Lionel Messi,17 May,1
Lionel Messi,the 2014Champions League,1
Lionel Messi,30 201415,1
Lionel Messi,201516,1
Lionel Messi,the 2015201516 season,1
Lionel Messi,54,1
Lionel Messi,the UEFA Super Cup,1
Lionel Messi,11 January 2016,1
Lionel Messi,17 February,1
Lionel Messi,300th,1
Lionel Messi,Sporting de Gijn,1
Lionel Messi,201617,3
Lionel Messi,2016201617 season,1
Lionel Messi,Supercopa de Espaa,2
Lionel Messi,Andrs,1
Lionel Messi,Europe,3
Lionel Messi,one,1
Lionel Messi,4 February 2017,1
Lionel Messi,27th,1
Lionel Messi,Athletic Bilbao,1
Lionel Messi,Koeman,1
Lionel Messi,201718,3
Lionel Messi,Golden Boot Messi,1
Lionel Messi,2017201718 season,1
Lionel Messi,13,1
Lionel Messi,Real Madrid,2
Lionel Messi,9 September,2
Lionel Messi,Espanyol,1
Lionel Messi,Derbi,1
Lionel Messi,Blaugrana,1
Lionel Messi,18 October,1
Lionel Messi,122nd European,1
Lionel Messi,97th,1
Lionel Messi,100th,1
Lionel Messi,UEFA,1
Lionel Messi,Olympiacos,1
Lionel Messi,A week later,1
Lionel Messi,42,1
Lionel Messi,Sociedad,1
Lionel Messi,4 March,1
Lionel Messi,600th,1
Lionel Messi,10th,2
Lionel Messi,Andrs Iniesta,2
Lionel Messi,May 2018,1
Lionel Messi,13 January 2019,1
Lionel Messi,400th La Liga,1
Lionel Messi,435th,1
Lionel Messi,Eibar,2
Lionel Messi,27 April,1
Lionel Messi,Levante,1
Lionel Messi,201920,2
Lionel Messi,sixth,2
Lionel Messi,5 August 2019,1
Lionel Messi,US,1
Lionel Messi,17 September,1
Lionel Messi,6 October,1
Lionel Messi,420th,1
Lionel Messi,419,1
Lionel Messi,22 February 2020,1
Lionel Messi,August 2020: Desire,1
Lionel Messi,33%,2
Lionel Messi,Bartomeu,1
Lionel Messi,4 September,2
Lionel Messi,Jorge Messi,1
Lionel Messi,Lionel,1
Lionel Messi,the end of the 201920 season,1
Lionel Messi,202021,1
Lionel Messi,27 September,1
Lionel Messi,2020202021 season,1
Lionel Messi,Villarreal,1
Lionel Messi,23 December,1
Lionel Messi,644th,1
Lionel Messi,Valladolid,1
Lionel Messi,Santos,1
Lionel Messi,Pichichi,1
Lionel Messi,eighth,1
Lionel Messi,Alfredo Di Stfano,1
Lionel Messi,Hugo Snchez,1
Lionel Messi,Marseille,1
Lionel Messi,Jean-Pierre Papin's,1
Lionel Messi,half a century,1
Lionel Messi,FC Barcelona,4
Lionel Messi,Joan Laporta,1
Lionel Messi,1 July,1
Lionel Messi,202122,1
Lionel Messi,Seventh Ballon d'Or,1
Lionel Messi,10 August,1
Lionel Messi,French,1
Lionel Messi,29 August,1
Lionel Messi,the second half of a 20,1
Lionel Messi,Reims,1
Lionel Messi,1,2
Lionel Messi,Ligue 1,1
Lionel Messi,11,2
Lionel Messi,Lens,1
Lionel Messi,the Parc des Princes,1
Lionel Messi,200405,1
Lionel Messi,the World Youth Championship,1
Lionel Messi,Netherlands,1
Lionel Messi,June,1
Lionel Messi,the United States,1
Lionel Messi,Francisco Ferraro,1
Lionel Messi,Egypt,1
Lionel Messi,Germany,4
Lionel Messi,Colombia,2
Lionel Messi,Brazil,3
Lionel Messi,Nigeria,2
Lionel Messi,1979,1
Lionel Messi,200506,1
Lionel Messi,under-20,1
Lionel Messi,Jos Pkerman,1
Lionel Messi,Hungary,1
Lionel Messi,17 August 2005,1
Lionel Messi,the Ferenc Pusks Stadium,1
Lionel Messi,63rd minute,1
Lionel Messi,two minutes,1
Lionel Messi,Vilmos Vanczk,1
Lionel Messi,the World Cup,6
Lionel Messi,the Ivory Coast,1
Lionel Messi,Serbia,1
Lionel Messi,Montenegro,1
Lionel Messi,the 74th minute,1
Lionel Messi,minutes,1
Lionel Messi,60,1
Lionel Messi,200708,1
Lionel Messi,Copa Amrica,5
Lionel Messi,Olympic,2
Lionel Messi,Alfio Basile's,1
Lionel Messi,Venezuela,2
Lionel Messi,20082011,1
Lionel Messi,late 2008,1
Lionel Messi,three-year,1
Lionel Messi,South Africa,1
Lionel Messi,at least four,1
Lionel Messi,Nigeria's,1
Lionel Messi,South Korea,1
Lionel Messi,41,1
Lionel Messi,quarter,2
Lionel Messi,four years earlier,1
Lionel Messi,a World Cup,1
Lionel Messi,1974.Maradona,1
Lionel Messi,Sergio Batista,1
Lionel Messi,Batista,2
Lionel Messi,433,1
Lionel Messi,20112013,1
Lionel Messi,Alejandro Sabella,1
Lionel Messi,Sabella,2
Lionel Messi,24-year-old,1
Lionel Messi,Javier Mascherano,1
Lionel Messi,Mascherano,1
Lionel Messi,only 17,1
Lionel Messi,61,2
Lionel Messi,25,1
Lionel Messi,32,1
Lionel Messi,the following three years,1
Lionel Messi,1990,1
Lionel Messi,Chile,5
Lionel Messi,Gerardo Martino,1
Lionel Messi,46,1
Lionel Messi,Copa Amrica Centenario,1
Lionel Messi,Honduras,1
Lionel Messi,27 May,1
Lionel Messi,18 June,1
Lionel Messi,the previous year's,1
Lionel Messi,26 June,2
Lionel Messi,Just a week,1
Lionel Messi,La Nacin,1
Lionel Messi,September,2
Lionel Messi,28 March 2017,1
Lionel Messi,23 March 2017,1
Lionel Messi,CHF,1
Lionel Messi,"10,000. 2018:",1
Lionel Messi,World Cup Following,1
Lionel Messi,the 2018 World Cup,2
Lionel Messi,March,1
Lionel Messi,the Krestovsky Stadium,1
Lionel Messi,Saint Petersburg,1
Lionel Messi,Gabriel Batistuta,1
Lionel Messi,World Cups,1
Lionel Messi,twenties,1
Lionel Messi,his thirties,1
Lionel Messi,Guatemala,1
Lionel Messi,the calendar year,1
Lionel Messi,Superclsico,1
Lionel Messi,21 May,1
Lionel Messi,Lionel Scaloni's,1
Lionel Messi,23,1
Lionel Messi,6 July,1
Lionel Messi,Agero,1
Lionel Messi,Gary Medel,1
Lionel Messi,37th minute,1
Lionel Messi,Chilean,1
Lionel Messi,25%,1
Lionel Messi,"quote""It",1
Lionel Messi,Diario,1
Lionel Messi,14 June 2021,1
Lionel Messi,Bolivia,1
Lionel Messi,2022,1
Lionel Messi,South America's,2
Lionel Messi,79,1
Lionel Messi,Xavi,1
Lionel Messi,enganche,1
Lionel Messi,250,1
Lionel Messi,Messi Maradona.jpg,1
Lionel Messi,Russia,1
Lionel Messi,alt2,1
Lionel Messi,The Sistine Chapel of Football,1
Lionel Messi,Sportivo Pereyra,1
Lionel Messi,Barracas,1
Lionel Messi,Pablo Aimar,1
Lionel Messi,Portuguese,1
Lionel Messi,Cristiano Ronaldo,1
